Document Type,Eduskunta ID,Date,Law Title,Section ID,Section Title,Section Content,Position_first,Name_first,Position_second,Name_second
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Nämä ovat lailliset saannot, joilla maa, huone ja maapohja maalla ja kaupungissa omaksi saadaan: yksi on perintö, jos on laillisesti peritty toinen on vaihto, jos on laillisesti vaihdettu kolmas on kauppa, jos on laillisesti ostettu neljäs on lahja, jos on laillisesti annettu [viides on panttaus, jos on laillisesti pantattu ja pantti laillistunut] aina sen mukaan kuin tässä lakikirjassa säädetään. Laillinen pysyköön, laiton purkautukoon.", , , , 
Vahvistettava laki,1,1734,N/A,N/A,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,N/A,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Jos joku myypi maan, huoneen tahi talonaseman, jonka hän jo ennen on toiselle myynyt, niin olkoon ensin tehty kauppa pysyväinen, ja [se, joka saman kahdelle myi, vetäköön sakkoa kuudennen osan kauppahinnasta] ja korvatkoon vahingon.", , , , 
Vahvistettava laki,1,1734,N/A,5 §,N/A,"[Kun veromaa myydään pois suvusta, on se ennen kolmannen huudon ottamista tarjottava kruunulle, jos se on kruununveroinen ja veronomistajalle, jos se on rälssiveroinen, ja olkoon heillä valta se maa lunastaa ja sitten loppuun huudattaa, niinkuin on sanottu.]", , , , 
Vahvistettava laki,1,1734,N/A,6 §,N/A,"Joka ostaa, mitä toisen maalle ja maapohjalle kaupungissa on rakennettu, [tarjotkoon] sen laillisesti hänen lunastettavakseen.", , , , 
Vahvistettava laki,1,1734,N/A,7 §,N/A,"Älköön kukaan tehkö lapsi-ikäisen, [neidon] tai heikkomielisen kanssa kauppaa taikka vaihtoa heidän maastansa. Jos joku sen tekee, olkoon se mitätön ja lainhuudon antaminen kielletty.", , , , 
Vahvistettava laki,1,1734,N/A,8 §,N/A,"[Jos holhoojalle tulee pakko holhottavainsa elatukseksi ja tarpeelliseksi kasvatukseksi myydä heidän kiinteätä perintöänsä, näyttäköön tuomarille, että on tositarve ja sittenkuin tuomari, kuulustettuansa lähimpiä tässä valtakunnassa asuvia sukulaisia,] on kaupan hyväksynyt ja kauppa on laillistunut, älköön holhunalaisilla täysivaltaisiksi tultuansa olko oikeutta nostaa siitä kannetta.", , , , 
Vahvistettava laki,1,1734,N/A,9 §,N/A,"[Mitä veronalaiseen maahan laillisesti kuuluu, siltä älköön sen omistaja myymällä, vaihtamalla tahi muulla tavalla mitään erottako ja vähentäkö. Jos joku sen tekee, olkoon se mitätön.]", , , , 
Vahvistettava laki,1,1734,N/A,10 §,N/A,"Jos talonkirjat turmeltuvat tai hukkaantuvat, olkoon kihlakunnan tahi kaupungin tuomiokirjalla todistusvoima ja antakoon tuomari tahi pormestari ja raati uuden talonkirjan.", , , , 
Vahvistettava laki,1,1734,N/A,N/A,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,1 § (27.6.1878/19A),N/A,"Joka huoneen tahi talonaseman kaupungissa ostanut on, [tarjotkoon sen osatalokkaalle ja naapurille lunastettavaksi, ennenkuin sille huudatusta hakee] ja olkoon osatalokkaalla, niin myös naapurilla niissä tapauksissa, jotka ovat tämän luvun 3, 4 ja 5 §:ssä luetellut, oikeus [neljässätoista päivässä kolmannen huudon perästä] lunastaa se huone tahi talonasema.", , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,"Osatalokkaan oikeus on niillä, jotka kaupungissa omistavat osan samasta talosta ja talonasemasta, ja naapurin oikeus niillä, jotka vieressä asuvat ja olkoon osatalokkaalla lunastamisoikeus ennen naapuria.", , , , 
Vahvistettava laki,1,1734,N/A,3 §,N/A,"Jos huone ja talonasema on naapurilta lohkaistu ja erotettu, hänelle haitaksi ja ahdingoksi, olkoon hän ennen muita naapureita oikeutettu lunastamaan sen.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Sama oikeus olkoon myös sillä, jolla on toinen puoli välimuuria, taikka joka käyttää toisen muuria tahi seinää, taikka jonka perusmuurilla toisen muuri on, taikka joka käyttää toisen perusmuuria.", , , , 
Vahvistettava laki,1,1734,N/A,5 §,N/A,"Jos jollakulla on tuntuvaa haittaa toisen huoneesta, niinkuin räystäsvedestä, pimittämisestä, akkunoista, aukoista, veden valumisesta, ja muuta vastusta, taikka jos hänellä on ahdas talo tahi talonasema, niin olkoon hänelläkin lunastamisoikeus.", , , , 
Vahvistettava laki,1,1734,N/A,6 §,N/A,"Jos naapurit riitelevät siitä, kenellä on parempi oikeus myytyyn taloon tahi talonasemaan, niin tutkikoon tuomari, kuka sen paraiten tarvitsee älköönkä näissä asioissa olko mitään eroa vapaalla ja ehdollisella maapohjalla ellei kaupunki tahdo pitää ehdollista talon asemaa.", , , , 
Vahvistettava laki,1,1734,N/A,7 §,N/A,"Jos syntyy riita naapurin tahi osatalokkaan ja ostajan välillä oikeasta kauppahinnasta, käyköön asian niin kuin sukulunastamisesta 5 Luvun 6 §:ssä on sanottu.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,"Jos lahjan saajan havaitaan tehneen antajalle, hänen lapsillensa tai lähimmälle perillisellensä tuntuvaa vääryyttä, haittaa ja vahinkoa, niin olkoon heillä valta peruuttaa lahja, jos se vielä on saajan hallussa ja Oikeus harkitsee sen syystä menetetyksi. Jos lahja on annettu vaivannäöstä ja työstä tahi tehdystä palveluksesta, niin älköön peruutuko.", , , , 
Vahvistettava laki,1,1734,N/A,N/A,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Älköön kenelläkään olko valtaa myydä, vaihtaa taikka pantiksi panna toisen maata, huonetta tahi talonasemaa, ellei hänellä ole siihen omistajan avointa lupa- ja valtakirjaa. Jos se tehdään, olkoon kauppa mitätön, vaikka olisikin saatu huudatus ja laillistus ja se, joka sen on tehnyt, vetäköön sakkoa [neljäkymmentä talaria] ja korvatkoon vahingon.", , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,"Älköön myöskään tuomiota annettako kenenkään maatilasta älköönkä maata [takavarikkoon] pantako, ellei omistajaa ole laillisesti haastettu taikka hän itse tai hänen tunnettu asiamiehensä ole vastaamassa.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Jos joku ostaa maan, huoneen tahi talonaseman ja sitä kauppaa moititaan, niin ostaja ottakoon haasteen myyjälle. Jos kauppa voidaan vastata, niin se pysyköön jos ei, niin maksakoon myyjä takaisin mitä hinnasta on saanut ja korvatkoon kaiken vahingon, mitä ostajalle on siitä kaupasta tullut. Maksakoon myös se, joka maan voittaa, kaiken siihen tehdyn tarpeellisen ja hyödyllisen parannuksen.", , , , 
Vahvistettava laki,1,1734,N/A,N/A,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,3 §,N/A,"Jos saantomiehiä on useampia, jotka ovat toinen toiseltansa saaneet, niin johtakoot saantonsa laillisesti kukin miehestä mieheen, ja joka ei voi kauppaa vastata, vetäköön sakkoa [kuusi talaria]. Jos kaupanvastaajalla on yhdysperillisiä, joita hän tahtoo velvoittaa kauppaa kanssansa vastaamaan, antakoon itse heille siitä tiedon. Jos ostaja ei voi saada omaansa lähimmältä kaupanvastaajalta, niin olkoon hänellä valta hakea toiselta, kolmannelta ja niin edespäin, kuitenkin järjestänsä yhdeltä toisensa perästä.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Jos se maa voitetaan pois, jonka joku on vaihtamalla saanut toisen maan sijaan, niin olkoon hänellä valta ottaa takaisin oma maansa, niin kauan kuin se on sen hallussa, joka hänen kanssansa vaihtoi, taikka tämän perillisillä. Jos maa on uudella vaihtamisella, myymisellä, [panttaamisella] tahi lahjoittamisella taikka laillisella velan ulosotolla toisen haltuun joutunut, ja jos siihen on annettu huudot taikka kiinnitys, niin älköön hänellä sitten olko valtaa siitä kantaa, vaan hakekoon saantomieheltänsä, niinkuin paraiten voi.", , , , 
